No.,Video,Flight Altitude,Snow Cover,Cloud Cover,Resolution,FPS,GSD / Pixel Size,Stabilized,Annotated,Note
1,2022-12-02 Asjo 01_stabilized,130-200 m,Minimal (0-1 cm),Overcast,1920 x 1080,5,11.5-17.8 cm,TRUE,TRUE,
2,2022-12-02_Asjo_01,130-200 m,Minimal (0-1 cm),Overcast,1920 x 1080,25,11.5-17.8 cm,FALSE,FALSE,
3,2022-12-02_Asjo_02,130-200 m,Minimal (0-1 cm),Overcast,1920 x 1080,25,11.5-17.8 cm,FALSE,FALSE,
4,2022-12-03 Nyland 01,130 m,Minimal (0-1 cm),Dense,1920 x 1080,25,11.5-17.8 cm,FALSE,FALSE,
5,2022-12-03 Nyland 02,130 m,Minimal (0-1 cm),Dense,1920 x 1080,25,11.5-17.8 cm,FALSE,FALSE,
6,2022-12-04 Bjenberg 01,250 m,Fresh (1-2 cm),Light,1920 x 1080,25,22.2 cm,FALSE,FALSE,
7,2022-12-04 Bjenberg 02,250 m,Fresh (1-2 cm),Light,1920 x 1080,25,22.2 cm,FALSE,TRUE,
8,2022-12-23 Asjo 01,250 m,Fresh (5-10 cm),Clear,3840 x 2160,25,11.1 cm,FALSE,FALSE,
9,2022-12-23 Asjo 01_HD 5x stab,250 m,Fresh (5-10 cm),Clear,1920 x 1080,5,20.2 cm,TRUE,TRUE,
10,2022-12-23 Asjo 02,250 m,Fresh (5-10 cm),Clear,3840 x 2160,25,11.1 cm,FALSE,FALSE,
11,2022-12-23 Bjenberg 01,250 m,Fresh (5-10 cm),Clear,3840 x 2160,25,11.1 cm,FALSE,FALSE,
12,2022-12-23 Bjenberg 02,250 m,Fresh (5-10 cm),Clear,3840 x 2160,25,11.1 cm,FALSE,FALSE,
13,C0002,120 m,No snow,Clear,1920 x 1080,25,11.2 cm,FALSE,FALSE,
14,2023-02-19_Asjo,,,,1920 x 1080,25,,FALSE,FALSE,
15,2023-02-19_Asjo_stabilized,,,,1920 x 1080,5,,TRUE,FALSE,
16,2022-12-23 Bjenberg 02_stabilized,250 m,Fresh (5-10 cm),Clear,1920 x 1080,5,11.1 cm,TRUE,TRUE,Annotations are not aligned with the video but it works with the extracted frames
17,2022-12-02_Asjo_02_stabilized,130-200 m,Minimal (0-1 cm),Overcast,1920 x 1080,5,11.5-17.8 cm,TRUE,FALSE,
18,2022-12-03 Nyland 01_stabilized,150 m,Minimal (0-1 cm),Dense,1920 x 1080,5,11.5-17.8 cm,TRUE,TRUE,
19,2022-12-04 Bjenberg 01_stabilized,250 m,Fresh (1-2 cm),Light,1920 x 1080,5,22.2 cm,TRUE,FALSE,
20,2022-12-04_Bjenberg_02_stabilized,250 m,Fresh (1-2 cm),Light,1920 x 1080,5,22.2 cm,TRUE,FALSE,
21,2022-12-23 Asjo 02_stabilized,250 m,Fresh (5-10 cm),Clear,1920 x 1080,5,11.1 cm,TRUE,FALSE,
22,2022-12-23 Bjenberg 01_stabilized,250 m,Fresh (5-10 cm),Clear,1920 x 1080,5,22.2 cm,TRUE,FALSE,
